cn,name,position,playerScore,generations,total
金星动物,Venusian Animals,2.169042769857434,92.05906313645622,8.079429735234216,491
鸟,Birds,2.3183673469387753,85.11836734693877,8.391836734693877,490
巨型太空镜,Giant Space Mirror,2.610204081632653,78.23673469387755,8.33265306122449,490
草,Grass,2.3959183673469386,83.56326530612245,8.177551020408163,490
牵引彗星,Towing A Comet,2.310838445807771,79.85889570552148,7.922290388548057,489
农业,Farming,2.17827868852459,86.39959016393442,8.245901639344263,488
研究网络,Research Network,2.4118852459016393,81.76434426229508,7.903688524590164,488
构造应力能源,Tectonic Stress Power,2.42798353909465,84.49588477366255,8.452674897119342,486
受保护的栖息地,Protected Habitats,2.25879917184265,86.10766045548654,8.486542443064183,483
UNMI 承包商,UNMI Contractor,2.358921161825726,79.55809128630706,7.854771784232365,482
开拓者训练营,Colonizer Training Camp,2.4771784232365146,82.92323651452283,8.390041493775934,482
Deimos Down:promo,Deimos Down:promo,2.2645833333333334,83.89583333333333,7.76875,480
聚变能源,Fusion Power,2.6096033402922756,80.91022964509395,8.534446764091857,479
过氧化氢能源,Peroxide Power,2.5156576200417535,81.08977035490605,8.423799582463465,479
里姆货船,Rim Freighters,2.4676409185803756,84.04801670146138,8.04384133611691,479
漂浮舱,Floating Habs,2.4008350730688934,86.78496868475992,8.11482254697286,479
电磁弹射器,Electro Catapult,2.4129979035639413,82.30188679245283,8.283018867924529,477
花丛,Bushes,2.323529411764706,84.69327731092437,8.11344537815126,476
商业帝国,Business Empire,2.5780590717299576,77.51898734177215,8.120253164556962,474
海藻,Algae,2.2130801687763713,84.09704641350211,8.048523206751055,474
月球政府,Luna Governor,2.3524416135881103,86.5732484076433,8.023354564755838,471
油脂工厂,Fuel Factory,2.5319148936170213,80.23829787234042,8.476595744680852,470
火星勘察,Martian Survey,2.4712153518123667,82.6588486140725,8.238805970149254,469
核能,Nuclear Power,2.558886509635974,80.66809421841542,8.271948608137045,467
燃料发动机,Fueled Generators,2.507494646680942,80.70663811563169,8.276231263383298,467
月球出口,Lunar Exports,2.4935622317596566,82.3068669527897,7.94206008583691,466
联合银行,Allied Banks,2.393548387096774,79.93978494623656,7.929032258064516,465
来自泰坦的甲烷,Methane From Titan,2.2516129032258063,85.94408602150537,8.406451612903226,465
